"시점",평균-06:00~22:00,평균-06:00~22:00,평균-06:00~22:00,평균-06:00~22:00,평균-06:00~22:00,오전-07:00~09:00,오전-07:00~09:00,오전-07:00~09:00,오전-07:00~09:00,오전-07:00~09:00,낮-12:00~14:00,낮-12:00~14:00,낮-12:00~14:00,낮-12:00~14:00,낮-12:00~14:00,오후-17:00~19:00,오후-17:00~19:00,오후-17:00~19:00,오후-17:00~19:00,오후-17:00~19:00
"시점",전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체
"시점",소계,도시고속도로,주간선도로,보조간선도로,기타 도로,소계,도시고속도로,주간선도로,보조간선도로,기타 도로,소계,도시고속도로,주간선도로,보조간선도로,기타 도로,소계,도시고속도로,주간선도로,보조간선도로,기타 도로
"2025",22.5,51,23.3,20.8,18.4,23.8,50.8,25.4,22.1,19.3,22.5,54.9,23.2,20.8,18.2,19.8,39,20,18.6,16.9
